Schema,Table,Column,Missing Count,Total Count,Missing %
staging,products,product_id,0,32951,0.0
staging,products,product_width_cm,2,32951,0.01
staging,products,product_height_cm,2,32951,0.01
staging,products,product_length_cm,2,32951,0.01
staging,products,product_weight_g,2,32951,0.01
staging,products,product_photos_qty,610,32951,1.85
staging,products,product_description_lenght,610,32951,1.85
staging,products,product_name_lenght,610,32951,1.85
staging,products,product_category_name,610,32951,1.85
staging,customers,customer_id,0,99441,0.0
staging,customers,customer_state,0,99441,0.0
staging,customers,customer_city,0,99441,0.0
staging,customers,customer_zip_code_prefix,0,99441,0.0
staging,customers,customer_unique_id,0,99441,0.0
staging,orders,order_id,0,99441,0.0
staging,orders,order_estimated_delivery_date,0,99441,0.0
staging,orders,order_delivered_customer_date,2965,99441,2.98
staging,orders,order_delivered_carrier_date,1783,99441,1.79
staging,orders,order_approved_at,160,99441,0.16
staging,orders,order_purchase_timestamp,0,99441,0.0
staging,orders,customer_id,0,99441,0.0
staging,orders,order_status,0,99441,0.0
staging,order_items,order_id,0,112650,0.0
staging,order_items,freight_value,0,112650,0.0
staging,order_items,price,0,112650,0.0
staging,order_items,shipping_limit_date,0,112650,0.0
staging,order_items,seller_id,0,112650,0.0
staging,order_items,order_item_id,0,112650,0.0
staging,order_items,product_id,0,112650,0.0
staging,order_payments,order_id,0,103886,0.0
staging,order_payments,payment_value,0,103886,0.0
staging,order_payments,payment_installments,0,103886,0.0
staging,order_payments,payment_type,0,103886,0.0
staging,order_payments,payment_sequential,0,103886,0.0
staging,order_reviews,review_id,0,99224,0.0
staging,order_reviews,review_answer_timestamp,0,99224,0.0
staging,order_reviews,review_creation_date,0,99224,0.0
staging,order_reviews,review_comment_message,58274,99224,58.73
staging,order_reviews,review_comment_title,87658,99224,88.34
staging,order_reviews,order_id,0,99224,0.0
staging,order_reviews,review_score,0,99224,0.0
staging,sellers,seller_id,0,3095,0.0
staging,sellers,seller_zip_code_prefix,0,3095,0.0
staging,sellers,seller_city,0,3095,0.0
staging,sellers,seller_state,0,3095,0.0
staging,geolocation,geolocation_zip_code_prefix,0,1000163,0.0
staging,geolocation,geolocation_state,0,1000163,0.0
staging,geolocation,geolocation_lng,0,1000163,0.0
staging,geolocation,geolocation_lat,0,1000163,0.0
staging,geolocation,geolocation_city,0,1000163,0.0
staging,category_translation,product_category_name,0,71,0.0
staging,category_translation,product_category_name_english,0,71,0.0
