Dataset,Rows,Columns,Missing Values,Duplicate Rows,Memory (MB)
olist_customers_dataset.csv,99441,5,0,0,26.59
olist_geolocation_dataset.csv,1000163,5,0,261831,130.26
olist_order_items_dataset.csv,112650,7,0,0,35.99
olist_order_payments_dataset.csv,103886,5,0,0,16.23
olist_order_reviews_dataset.csv,99224,7,145903,0,39.12
olist_orders_dataset.csv,99441,8,4908,0,52.94
olist_products_dataset.csv,32951,9,2448,0,6.3
olist_sellers_dataset.csv,3095,4,0,0,0.59
product_category_name_translation.csv,71,2,0,0,0.01
