Segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_monetary,customer_pct,revenue_pct
Hibernating,18709,366.4232722219253,1.0,164.5754620770752,3079042.32,19.47,19.23
Promising,18677,185.464582106334,1.0,165.4915885848905,3090886.4,19.44,19.31
Lost,18667,524.7514330101249,1.0,161.80581507473082,3020429.15,19.43,18.87
New Customers,18632,94.20384285100901,1.0,165.03737118935163,3074976.3,19.39,19.21
About to Sleep,18414,270.24856087759315,1.0,152.03189095253612,2799515.24,19.16,17.49
Loyal Customers,1801,182.5141588006663,2.0299833425874514,300.90636313159354,541932.36,1.87,3.39
At Risk,980,431.5612244897959,2.0,291.646193877551,285813.27,1.02,1.79
Champions,142,136.30281690140845,3.471830985915493,594.7168309859154,84449.79,0.15,0.53
Can't Lose Them,74,443.55405405405406,3.1486486486486487,430.0985135135135,31827.29,0.08,0.2
